desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
POL-INT-02|zh|baseline|hanzi#006#siteB#k4,POL-INT-02|zh|baseline|hanzi#006#siteB,4,POL-INT-02|zh|baseline|hanzi#006,POL-INT-02,POL-INT,Taiwan,zh,hanzi,baseline,B,0.00666,0.99667,en,571
POL-INT-02|en|baseline|latin#007#siteA#k0,POL-INT-02|en|baseline|latin#007#siteA,0,POL-INT-02|en|baseline|latin#007,POL-INT-02,POL-INT,Taiwan,en,latin,baseline,A,0.009898,0.995051,en,724
POL-INT-02|en|baseline|latin#007#siteA#k1,POL-INT-02|en|baseline|latin#007#siteA,1,POL-INT-02|en|baseline|latin#007,POL-INT-02,POL-INT,Taiwan,en,latin,baseline,A,0.009878,0.995061,en,670
POL-INT-02|en|baseline|latin#007#siteA#k2,POL-INT-02|en|baseline|latin#007#siteA,2,POL-INT-02|en|baseline|latin#007,POL-INT-02,POL-INT,Taiwan,en,latin,baseline,A,0.010379,0.99481,en,703
POL-INT-02|en|baseline|latin#007#siteA#k3,POL-INT-02|en|baseline|latin#007#siteA,3,POL-INT-02|en|baseline|latin#007,POL-INT-02,POL-INT,Taiwan,en,latin,baseline,A,0.009178,0.995411,en,720
POL-INT-02|en|baseline|latin#007#siteA#k4,POL-INT-02|en|baseline|latin#007#siteA,4,POL-INT-02|en|baseline|latin#007,POL-INT-02,POL-INT,Taiwan,en,latin,baseline,A,0.010002,0.994999,en,695
POL-INT-02|en|baseline|latin#007#siteB#k0,POL-INT-02|en|baseline|latin#007#siteB,0,POL-INT-02|en|baseline|latin#007,POL-INT-02,POL-INT,Taiwan,en,latin,baseline,B,0.008595,0.995703,en,795
POL-INT-02|en|baseline|latin#007#siteB#k1,POL-INT-02|en|baseline|latin#007#siteB,1,POL-INT-02|en|baseline|latin#007,POL-INT-02,POL-INT,Taiwan,en,latin,baseline,B,0.007678,0.996161,en,797
POL-INT-02|en|baseline|latin#007#siteB#k2,POL-INT-02|en|baseline|latin#007#siteB,2,POL-INT-02|en|baseline|latin#007,POL-INT-02,POL-INT,Taiwan,en,latin,baseline,B,0.007713,0.996144,en,781
POL-INT-02|en|baseline|latin#007#siteB#k3,POL-INT-02|en|baseline|latin#007#siteB,3,POL-INT-02|en|baseline|latin#007,POL-INT-02,POL-INT,Taiwan,en,latin,baseline,B,0.007463,0.996268,en,729
POL-INT-02|en|baseline|latin#007#siteB#k4,POL-INT-02|en|baseline|latin#007#siteB,4,POL-INT-02|en|baseline|latin#007,POL-INT-02,POL-INT,Taiwan,en,latin,baseline,B,0.007864,0.996068,en,770
POL-DOM-01|zh|baseline|hanzi#008#siteA#k0,POL-DOM-01|zh|baseline|hanzi#008#siteA,0,POL-DOM-01|zh|baseline|hanzi#008,POL-DOM-01,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.008016,0.995992,en,567
POL-DOM-01|zh|baseline|hanzi#008#siteA#k1,POL-DOM-01|zh|baseline|hanzi#008#siteA,1,POL-DOM-01|zh|baseline|hanzi#008,POL-DOM-01,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.007957,0.996021,en,605
POL-DOM-01|zh|baseline|hanzi#008#siteA#k2,POL-DOM-01|zh|baseline|hanzi#008#siteA,2,POL-DOM-01|zh|baseline|hanzi#008,POL-DOM-01,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.007673,0.996163,en,567
POL-DOM-01|zh|baseline|hanzi#008#siteA#k3,POL-DOM-01|zh|baseline|hanzi#008#siteA,3,POL-DOM-01|zh|baseline|hanzi#008,POL-DOM-01,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.008412,0.995794,en,541
POL-DOM-01|zh|baseline|hanzi#008#siteA#k4,POL-DOM-01|zh|baseline|hanzi#008#siteA,4,POL-DOM-01|zh|baseline|hanzi#008,POL-DOM-01,POL-DOM,Taiwan,zh,hanzi,baseline,A,0.008858,0.995571,en,573
POL-DOM-01|zh|baseline|hanzi#008#siteB#k0,POL-DOM-01|zh|baseline|hanzi#008#siteB,0,POL-DOM-01|zh|baseline|hanzi#008,POL-DOM-01,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.006332,0.996834,en,577
POL-DOM-01|zh|baseline|hanzi#008#siteB#k1,POL-DOM-01|zh|baseline|hanzi#008#siteB,1,POL-DOM-01|zh|baseline|hanzi#008,POL-DOM-01,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.006252,0.996874,en,623
POL-DOM-01|zh|baseline|hanzi#008#siteB#k2,POL-DOM-01|zh|baseline|hanzi#008#siteB,2,POL-DOM-01|zh|baseline|hanzi#008,POL-DOM-01,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.005803,0.997099,mixed,567
POL-DOM-01|zh|baseline|hanzi#008#siteB#k3,POL-DOM-01|zh|baseline|hanzi#008#siteB,3,POL-DOM-01|zh|baseline|hanzi#008,POL-DOM-01,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.006098,0.996951,en,586
POL-DOM-01|zh|baseline|hanzi#008#siteB#k4,POL-DOM-01|zh|baseline|hanzi#008#siteB,4,POL-DOM-01|zh|baseline|hanzi#008,POL-DOM-01,POL-DOM,Taiwan,zh,hanzi,baseline,B,0.005888,0.997056,mixed,510
POL-DOM-01|en|baseline|latin#009#siteA#k0,POL-DOM-01|en|baseline|latin#009#siteA,0,POL-DOM-01|en|baseline|latin#009,POL-DOM-01,POL-DOM,Taiwan,en,latin,baseline,A,0.008219,0.99589,en,732
POL-DOM-01|en|baseline|latin#009#siteA#k1,POL-DOM-01|en|baseline|latin#009#siteA,1,POL-DOM-01|en|baseline|latin#009,POL-DOM-01,POL-DOM,Taiwan,en,latin,baseline,A,0.007519,0.99624,en,651
POL-DOM-01|en|baseline|latin#009#siteA#k2,POL-DOM-01|en|baseline|latin#009#siteA,2,POL-DOM-01|en|baseline|latin#009,POL-DOM-01,POL-DOM,Taiwan,en,latin,baseline,A,0.008607,0.995696,en,649
POL-DOM-01|en|baseline|latin#009#siteA#k3,POL-DOM-01|en|baseline|latin#009#siteA,3,POL-DOM-01|en|baseline|latin#009,POL-DOM-01,POL-DOM,Taiwan,en,latin,baseline,A,0.008236,0.995882,en,657
POL-DOM-01|en|baseline|latin#009#siteA#k4,POL-DOM-01|en|baseline|latin#009#siteA,4,POL-DOM-01|en|baseline|latin#009,POL-DOM-01,POL-DOM,Taiwan,en,latin,baseline,A,0.008856,0.995572,en,663
POL-DOM-01|en|baseline|latin#009#siteB#k0,POL-DOM-01|en|baseline|latin#009#siteB,0,POL-DOM-01|en|baseline|latin#009,POL-DOM-01,POL-DOM,Taiwan,en,latin,baseline,B,0.006288,0.996856,en,723
