desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
CUL-06|zh|baseline|hanzi#006#siteB#k3,CUL-06|zh|baseline|hanzi#006#siteB,3,CUL-06|zh|baseline|hanzi#006,CUL-06,CUL,Taiwan,zh,hanzi,baseline,B,0.008811,0.995595,mixed,535
CUL-06|zh|baseline|hanzi#006#siteB#k4,CUL-06|zh|baseline|hanzi#006#siteB,4,CUL-06|zh|baseline|hanzi#006,CUL-06,CUL,Taiwan,zh,hanzi,baseline,B,0.008892,0.995554,mixed,469
HIST-05|zh|baseline|hanzi#007#siteA#k0,HIST-05|zh|baseline|hanzi#007#siteA,0,HIST-05|zh|baseline|hanzi#007,HIST-05,HIST,Taiwan,zh,hanzi,baseline,A,0.008093,0.995954,en,576
HIST-05|zh|baseline|hanzi#007#siteA#k1,HIST-05|zh|baseline|hanzi#007#siteA,1,HIST-05|zh|baseline|hanzi#007,HIST-05,HIST,Taiwan,zh,hanzi,baseline,A,0.00836,0.99582,en,580
HIST-05|zh|baseline|hanzi#007#siteA#k2,HIST-05|zh|baseline|hanzi#007#siteA,2,HIST-05|zh|baseline|hanzi#007,HIST-05,HIST,Taiwan,zh,hanzi,baseline,A,0.008787,0.995606,en,616
HIST-05|zh|baseline|hanzi#007#siteA#k3,HIST-05|zh|baseline|hanzi#007#siteA,3,HIST-05|zh|baseline|hanzi#007,HIST-05,HIST,Taiwan,zh,hanzi,baseline,A,0.009041,0.99548,en,602
HIST-05|zh|baseline|hanzi#007#siteA#k4,HIST-05|zh|baseline|hanzi#007#siteA,4,HIST-05|zh|baseline|hanzi#007,HIST-05,HIST,Taiwan,zh,hanzi,baseline,A,0.008715,0.995643,en,580
HIST-05|zh|baseline|hanzi#007#siteB#k0,HIST-05|zh|baseline|hanzi#007#siteB,0,HIST-05|zh|baseline|hanzi#007,HIST-05,HIST,Taiwan,zh,hanzi,baseline,B,0.006151,0.996925,mixed,498
HIST-05|zh|baseline|hanzi#007#siteB#k1,HIST-05|zh|baseline|hanzi#007#siteB,1,HIST-05|zh|baseline|hanzi#007,HIST-05,HIST,Taiwan,zh,hanzi,baseline,B,0.006306,0.996847,mixed,503
HIST-05|zh|baseline|hanzi#007#siteB#k2,HIST-05|zh|baseline|hanzi#007#siteB,2,HIST-05|zh|baseline|hanzi#007,HIST-05,HIST,Taiwan,zh,hanzi,baseline,B,0.005365,0.997318,mixed,547
HIST-05|zh|baseline|hanzi#007#siteB#k3,HIST-05|zh|baseline|hanzi#007#siteB,3,HIST-05|zh|baseline|hanzi#007,HIST-05,HIST,Taiwan,zh,hanzi,baseline,B,0.005411,0.997295,mixed,527
HIST-05|zh|baseline|hanzi#007#siteB#k4,HIST-05|zh|baseline|hanzi#007#siteB,4,HIST-05|zh|baseline|hanzi#007,HIST-05,HIST,Taiwan,zh,hanzi,baseline,B,0.005815,0.997093,en,553
POL-INT-03|zh|baseline|hanzi#008#siteA#k0,POL-INT-03|zh|baseline|hanzi#008#siteA,0,POL-INT-03|zh|baseline|hanzi#008,POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,A,0.010224,0.994888,en,544
POL-INT-03|zh|baseline|hanzi#008#siteA#k1,POL-INT-03|zh|baseline|hanzi#008#siteA,1,POL-INT-03|zh|baseline|hanzi#008,POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,A,0.009789,0.995105,en,538
POL-INT-03|zh|baseline|hanzi#008#siteA#k2,POL-INT-03|zh|baseline|hanzi#008#siteA,2,POL-INT-03|zh|baseline|hanzi#008,POL-INT-03,POL-INT,Taiwan,zh,hanzi,baseline,A,0.010723,0.994638,en,570
