sent_id,lang,mention,n_tokens,site_a_idx,site_b_idx,mention_n_subtokens,warnings
POL-INT-09|zh|baseline|hanzi#064,zh,台灣,44,21,44,1,
POL-INT-09|en|baseline|latin#065,en,Taiwan,44,25,44,1,
POL-INT-10|zh|baseline|hanzi#066,zh,台灣,46,25,46,1,
POL-INT-10|en|baseline|latin#067,en,Taiwan,48,26,48,1,
POL-INT-11|zh|baseline|hanzi#068,zh,台灣,48,21,48,1,
POL-INT-11|en|baseline|latin#069,en,Taiwan,48,28,48,1,
POL-INT-12|zh|baseline|hanzi#070,zh,台灣,49,26,49,1,
POL-INT-12|en|baseline|latin#071,en,Taiwan,50,36,50,1,
POL-DOM-03|zh|baseline|hanzi#072,zh,台灣,52,36,52,1,
POL-DOM-03|en|baseline|latin#073,en,Taiwan,52,42,52,1,
POL-DOM-04|zh|baseline|hanzi#074,zh,台灣,56,38,56,1,
POL-DOM-04|en|baseline|latin#075,en,Taiwan,47,29,47,1,
POL-DOM-05|zh|baseline|hanzi#076,zh,台灣,67,42,67,1,
POL-DOM-05|en|baseline|latin#077,en,Taiwan,58,41,58,1,
POL-DOM-06|zh|baseline|hanzi#078,zh,台灣,57,42,57,1,
POL-DOM-06|en|baseline|latin#079,en,Taiwan,54,35,54,1,
POL-DOM-07|zh|baseline|hanzi#080,zh,台灣,53,40,53,1,
POL-DOM-07|en|baseline|latin#081,en,Taiwan,61,51,61,1,
POL-DOM-08|zh|baseline|hanzi#082,zh,台灣,60,43,60,1,
POL-DOM-08|en|baseline|latin#083,en,Taiwan,57,46,57,1,
POL-DOM-09|zh|baseline|hanzi#084,zh,台灣,56,38,56,1,
POL-DOM-09|en|baseline|latin#085,en,Taiwan,49,39,49,1,
POL-DOM-10|zh|baseline|hanzi#086,zh,台灣,57,38,57,1,
POL-DOM-10|en|baseline|latin#087,en,Taiwan,58,46,58,1,
POL-DOM-11|zh|baseline|hanzi#088,zh,台灣,54,34,54,1,
POL-DOM-11|en|baseline|latin#089,en,Taiwan,49,36,49,1,
POL-DOM-12|zh|baseline|hanzi#090,zh,台灣,61,40,61,1,
POL-DOM-12|en|baseline|latin#091,en,Taiwan,61,46,61,1,
ECON-03|zh|baseline|hanzi#092,zh,台灣,41,24,41,1,
ECON-03|en|baseline|latin#093,en,Taiwan,44,27,44,1,
ECON-04|zh|baseline|hanzi#094,zh,台灣,37,22,37,1,
ECON-04|en|baseline|latin#095,en,Taiwan,35,19,35,1,
ECON-05|zh|baseline|hanzi#096,zh,台灣,41,24,41,1,
ECON-05|en|baseline|latin#097,en,Taiwan,38,20,38,1,
ECON-06|zh|baseline|hanzi#098,zh,台灣,44,28,44,1,
ECON-06|en|baseline|latin#099,en,Taiwan,44,28,44,1,
ECON-07|zh|baseline|hanzi#100,zh,台灣,44,27,44,1,
ECON-07|en|baseline|latin#101,en,Taiwan,53,29,53,1,
ECON-08|zh|baseline|hanzi#102,zh,台灣,44,29,44,1,
ECON-08|en|baseline|latin#103,en,Taiwan,49,32,49,1,
ECON-09|zh|baseline|hanzi#104,zh,台灣,35,21,35,1,
ECON-09|en|baseline|latin#105,en,Taiwan,40,22,40,1,
ECON-10|zh|baseline|hanzi#106,zh,台灣,34,17,34,1,
ECON-10|en|baseline|latin#107,en,Taiwan,35,17,35,1,
ECON-11|zh|baseline|hanzi#108,zh,台灣,48,29,48,1,
